min_leaf_size,absolute_error
0,6.99884753
1,6.99884753
2,6.023518968
3,5.272439394
4,5.292564768
5,6.117262597
6,6.117262597
7,5.245791242
8,5.785340187
9,6.458811528
10,6.458811528
11,6.748937757
12,7.969248426
13,7.963692077
14,9.680338587
15,9.680338587
16,9.680338587
17,9.680338587
18,9.680338587
19,10.55558872
