min_leaf_size,mean_squared_error
0,6.977653146
1,6.977653146
2,5.039713555
3,4.953945425
4,4.821557685
5,5.541056362
6,5.504411771
7,5.504411771
8,5.810051983
9,6.483523324
10,6.483523324
11,6.773649552
12,7.228161023
13,7.228161023
14,7.481097276
15,7.481097276
16,7.481097276
17,7.481097276
18,7.481097276
19,8.356347405
